Date,Close,High,Low,Open,Volume,Ticker
,MSFT,MSFT,MSFT,MSFT,MSFT,
2002-01-02,20.429264068603516,20.450595247463248,19.96302378429503,20.310418597110143,48124000,MSFT
2002-01-03,21.096630096435547,21.102723722919535,20.44450046628432,20.45059641769257,67590800,MSFT
2002-01-04,20.996055603027344,21.30383587213962,20.925966152169394,21.102711441356476,52731400,MSFT
2002-01-07,20.89244842529297,21.337357361400368,20.828454913071003,21.25508065280734,58508800,MSFT
2002-01-08,21.142337799072266,21.288610406721855,20.72180783008157,20.932073977039032,47736400,MSFT
2002-01-09,20.938167572021484,21.52020770116272,20.889411586160918,21.245948015308848,76304000,MSFT
2002-01-10,21.11187171936035,21.270333955029376,20.76142880482209,20.868087062452183,50296600,MSFT
2002-01-11,20.90769386291504,21.428786080463063,20.75227966033696,21.184999187200354,72993200,MSFT
2002-01-14,20.86503791809082,21.038735377325146,20.64258213524869,20.813233942951157,50997800,MSFT
2002-01-15,21.19413948059082,21.215470655725337,20.874169528649336,20.922927828913217,60717400,MSFT
2002-01-16,20.68219757080078,21.282518699721138,20.676101618265726,20.980834147127197,61955400,MSFT
2002-01-17,21.28860092163086,21.331263262161325,20.843691995439418,20.883306361668225,78958000,MSFT
2002-01-18,20.142812728881836,20.676094470020516,19.93559458789957,20.447545152389655,107140400,MSFT
2002-01-22,19.64305305480957,20.304321900091015,19.57905952058143,20.298228274179593,76837200,MSFT
2002-01-23,19.42365074157715,19.719240486452517,19.27128448624224,19.51811823837121,80403000,MSFT
2002-01-24,19.685714721679688,19.862460090934896,19.441929007588,19.533348505064637,83886000,MSFT
2002-01-25,19.44193458557129,19.761903499771098,19.353561875589136,19.560781245096763,48981200,MSFT
2002-01-28,19.448026657104492,19.624772052363962,19.170720148563927,19.572968089074763,41622000,MSFT
2002-01-29,18.990924835205078,19.65524162177521,18.890363738364584,19.47240262981325,58666000,MSFT
2002-01-30,19.152433395385742,19.167670947360413,18.68924110939824,19.030541116822402,66100000,MSFT
2002-01-31,19.41450309753418,19.444977038421392,18.92997848081635,19.216427712846226,69566200,MSFT
2002-02-01,19.094541549682617,19.655249488568177,19.036642783629123,19.548593560979523,63462200,MSFT
2002-02-04,18.625253677368164,19.103683701918396,18.51250295604716,19.01531214329515,70308400,MSFT
2002-02-05,18.634395599365234,18.963506143619547,18.436318980049165,18.527738511094118,66772600,MSFT
2002-02-06,18.405838012695312,18.859888652214813,18.360127686251012,18.774563949478132,66103000,MSFT
2002-02-07,18.22300148010254,18.774567669488516,18.20776508908945,18.37536771515768,63314000,MSFT
2002-02-08,18.48202896118164,18.485075775089157,17.927415833023183,18.32051992498613,61283000,MSFT
2002-02-11,18.628299713134766,18.66182047712058,18.15901134225809,18.286998445699545,50899600,MSFT
2002-02-12,18.326616287231445,18.54297612955721,18.290048704892758,18.43327338254114,44973800,MSFT
2002-02-13,18.83856201171875,18.85684637919062,18.26871259382708,18.363178919609652,54168600,MSFT
2002-02-14,18.795894622802734,19.195094487366266,18.686190772237985,18.893408898313208,57267000,MSFT
2002-02-15,18.35403060913086,18.91169140735799,18.34488900996705,18.801987567545325,50179800,MSFT
2002-02-19,17.95787811279297,18.326603990326056,17.85731587575938,18.256515686845844,52262600,MSFT
2002-02-20,18.25347328186035,18.39364992266518,17.91826690661082,18.101107064691107,50492000,MSFT
2002-02-21,17.68971824645996,18.366224648133844,17.677528669636896,18.198622035433765,59398400,MSFT
2002-02-22,17.671438217163086,17.90303440608178,17.415462870220193,17.689721423218998,71347800,MSFT
2002-02-25,18.00359344482422,18.250425981795413,17.640961090568517,17.656197480356784,51832200,MSFT
2002-02-26,17.842082977294922,18.28394521925258,17.644007601563512,18.00968557597902,63276200,MSFT
2002-02-27,17.793336868286133,18.329666911550422,17.67144452206254,18.000555135575155,65750000,MSFT
2002-02-28,17.778095245361328,18.192531658137153,17.717148508930357,17.912177135539615,68068000,MSFT
2002-03-01,18.701433181762695,18.71666957425579,17.933507142996,17.994453875430604,62115600,MSFT
2002-03-04,19.28955841064453,19.350505115942994,18.54905867305324,18.661810484716998,74464200,MSFT
2002-03-05,19.222518920898438,19.46630459028201,18.997016450180027,19.198139772729196,55926400,MSFT
2002-03-06,19.390132904052734,19.411464090020054,18.951317278525124,19.17072509128893,49835400,MSFT
2002-03-07,19.112825393676758,19.46631509566613,18.85075522173487,19.402320378416732,58079200,MSFT
2002-03-08,19.48764419555664,19.716192414991138,19.249952047909662,19.390129885611003,57701800,MSFT
2002-03-11,19.606487274169922,19.807611833364717,19.198146853876572,19.353559912162684,43718200,MSFT
2002-03-12,19.057966232299805,19.13719615170654,18.792848184272213,19.051871444274372,66407200,MSFT
2002-03-13,18.92388343811035,19.204237878191982,18.8781742710873,18.91778981247685,44387400,MSFT
2002-03-14,18.655729293823242,18.966556671153963,18.603924149703506,18.93608271506513,51819600,MSFT
2002-03-15,19.0427303314209,19.04882395714052,18.579536891776552,18.588678492817973,69086800,MSFT
2002-03-18,18.936073303222656,19.195096570153243,18.64962523313698,19.118913461490482,52296800,MSFT
2002-03-19,18.963499069213867,19.198143180920553,18.74104453375578,18.948262680134103,36376400,MSFT
2002-03-20,18.31441879272461,18.89950566966411,18.31441879272461,18.710571886338492,55235200,MSFT
2002-03-21,18.698379516601562,18.76846782635712,18.23213933487634,18.34793680536197,46123400,MSFT
2002-03-22,18.42107391357422,18.631338852241736,18.350985600685046,18.603912889592767,41341400,MSFT
2002-03-25,18.049304962158203,18.521640081811018,18.024926967818136,18.430220568726952,47752400,MSFT
2002-03-26,18.00359344482422,18.564300028789415,17.76894932220642,18.009687070769903,69357200,MSFT
2002-03-27,18.113304138183594,18.247387217370502,17.854281910147588,17.91827547296177,47318400,MSFT
2002-03-28,18.378414154052734,18.482023231725027,18.18033760005917,18.268710287992423,43901200,MSFT
2002-04-01,18.399742126464844,18.405836913790992,18.040157811454794,18.232139543612117,47010000,MSFT
2002-04-02,17.45507049560547,18.0066365263533,17.403266548568084,17.9487377921712,76509400,MSFT
2002-04-03,17.165573120117188,17.555630139919522,16.91264472214675,17.503825038092366,76931400,MSFT
2002-04-04,17.202146530151367,17.36060753899637,16.88827132538865,17.058921910866808,61763800,MSFT
2002-04-05,17.025409698486328,17.461177400831563,17.016268092655864,17.336237083810644,50166000,MSFT
2002-04-08,17.436796188354492,17.464222163260416,16.53478699281659,16.546976573321974,73389600,MSFT
2002-04-09,16.720672607421875,17.500788256603627,16.69934142457953,17.470315470389504,63413000,MSFT
2002-04-10,17.15643310546875,17.40326675670364,16.778565597671662,16.796848796862676,75636400,MSFT
2002-04-11,16.696290969848633,17.202146782938105,16.607918281652623,17.031496194952226,58165800,MSFT
2002-04-12,17.04369354248047,17.144254690875492,16.71762977009311,16.806002498580824,52297600,MSFT
2002-04-15,16.97055435180664,17.293571255416282,16.882182800668858,17.065021855564968,47388800,MSFT
2002-04-16,17.616580963134766,17.7049524781752,17.17471873808504,17.1869083134223,51921600,MSFT
2002-04-17,17.257009506225586,17.759817658266112,17.193014769178852,17.65925649284311,55158600,MSFT
2002-04-18,17.177764892578125,17.464214089719984,16.05330276618823,17.305753103792153,74794800,MSFT
2002-04-19,17.43068504333496,17.668375827858842,17.327076031177654,17.503820132821716,104268600,MSFT
2002-04-22,16.940074920654297,17.27832808578677,16.760282750109194,17.223476158334915,51465200,MSFT
2002-04-23,16.452505111694336,17.010164877993603,16.24223898201489,16.9735973103171,68281400,MSFT
