Date,Close,High,Low,Open,Volume,Ticker
,KO,KO,KO,KO,KO,
2002-01-02,11.873961448669434,11.916484129362367,11.571296030340863,11.706369758765826,8848000,KO
2002-01-03,11.718876838684082,11.918986498010963,11.631329578373753,11.918986498010963,10789800,KO
2002-01-04,11.613821029663086,11.66634938993507,11.511265250668128,11.656343715351744,10145600,KO
2002-01-07,11.311158180236816,11.756400268024233,11.206100490171576,11.481250856194798,17142800,KO
2002-01-08,11.16857624053955,11.373687747726294,11.163573404487018,11.373687747726294,12292800,KO
2002-01-09,11.146063804626465,11.27863561854831,11.123551519791304,11.131055296671892,12000600,KO
2002-01-10,11.201092720031738,11.243616347393921,11.128553986144146,11.158570046862922,9222800,KO
2002-01-11,11.331171989440918,11.406212673968193,11.173585883997786,11.243624683191442,11290600,KO
2002-01-14,11.131058692932129,11.298649455689148,11.0810312720128,11.256126768133615,16115200,KO
2002-01-15,11.093536376953125,11.208599715645756,11.015994791578931,11.193591205157093,12015800,KO
2002-01-16,11.043510437011719,11.206098347756424,10.988480183489164,11.146066211362367,10501000,KO
2002-01-17,11.268633842468262,11.306154648230015,11.08353361800105,11.106045910619358,9838000,KO
2002-01-18,11.366182327270508,11.368684222241757,11.258623744147288,11.281136027921761,9820800,KO
2002-01-22,11.481246948242188,11.49125166668615,11.306151493861112,11.366183621298733,9442400,KO
2002-01-23,11.201092720031738,11.446225949987358,11.005986894069654,11.443725009174697,13132600,KO
2002-01-24,11.061015129089355,11.281134140055283,10.94845372905383,11.256120919688806,13154000,KO
2002-01-25,11.2936429977417,11.353675115173193,11.010988995104611,11.030999382850675,8429800,KO
2002-01-28,11.308653831481934,11.318659505355004,11.133558355477504,11.218604675011452,9345200,KO
2002-01-29,11.005989074707031,11.293645989018843,11.005989074707031,11.256125190041283,15979600,KO
2002-01-30,10.968463897705078,11.078524355205772,10.908431788334857,11.068518685579678,11985000,KO
2002-01-31,10.943451881408691,11.05601329159898,10.880917870657784,11.030999114782649,18087600,KO
2002-02-01,11.176081657409668,11.181084494196275,10.930948380027203,10.943454994896946,14601200,KO
2002-02-04,11.176081657409668,11.253624196311758,11.09603817721105,11.176081657409668,9806000,KO
2002-02-05,11.443727493286133,11.528773812278299,11.156070573526103,11.22861027735339,15225200,KO
2002-02-06,11.631330490112305,11.63633332740699,11.308654641057553,11.45623500157296,15027600,KO
2002-02-07,11.47624683380127,11.60881868801274,11.443728867113926,11.481249671306529,8603800,KO
2002-02-08,11.468743324279785,11.4737461623189,11.26363173564506,11.358683750000646,6663800,KO
2002-02-11,11.541280746459961,11.566294931674713,11.331166361624033,11.331166361624033,9030800,KO
2002-02-12,11.533775329589844,11.538778165922128,11.381192161132281,11.406205388600242,6057000,KO
2002-02-13,11.601313591003418,11.601313591003418,11.383694478116611,11.443727567166594,7968400,KO
2002-02-14,11.753900527954102,11.756401470123713,11.506265268631719,11.543786080533073,8097800,KO
2002-02-15,11.743896484375,11.7689097263258,11.668855804328588,11.756403105350401,12432600,KO
2002-02-19,11.578798294067383,11.723876710778088,11.516264279890125,11.593805846786193,6432600,KO
2002-02-20,11.726384162902832,11.756400236758592,11.361184621850288,11.50626406150841,7912000,KO
2002-02-21,11.506257057189941,11.813924250955097,11.476241001606152,11.693859074426733,9376200,KO
2002-02-22,11.831441879272461,11.881469309308322,11.481251777409165,11.506265015330165,12420400,KO
2002-02-25,11.84894847869873,11.926491024260805,11.756398375681414,11.831439025538526,8480200,KO
2002-02-26,11.753900527954102,11.918990382771062,11.658848504212857,11.851453493864959,8453000,KO
2002-02-27,11.876463890075684,12.001531960890542,11.706371237431984,11.743892040353904,8153200,KO
2002-02-28,11.853948593139648,12.00653175351147,11.843942921005304,11.98151852736902,8506200,KO
2002-03-01,12.109086036682129,12.119091707601225,11.746388576507954,11.746388576507954,9108000,KO
2002-03-04,11.949002265930176,12.106588284735079,11.806424757456924,12.03404858275576,9246600,KO
2002-03-05,11.906476974487305,11.986520443403359,11.818929728545815,11.886466584355,8700000,KO
2002-03-06,11.891469955444336,12.006532327913746,11.786412301394492,11.79391703295099,7829200,KO
2002-03-07,11.743896484375,11.803928646734525,11.59381417008816,11.7814163473012,11507000,KO
2002-03-08,11.969014167785645,12.04905765792514,11.856453665785127,11.878965957023965,7939800,KO
2002-03-11,11.901479721069336,12.031549692996904,11.856455133019873,12.031549692996904,6068800,KO
2002-03-12,12.029046058654785,12.031547000011626,11.758898590824318,11.85645247922548,6878800,KO
2002-03-13,12.044116973876953,12.081793510905953,11.956203137785607,11.98132178731678,6989600,KO
2002-03-14,12.029045104980469,12.142076626042556,12.001415071145464,12.069233983782716,8102200,KO
2002-03-15,12.217428207397461,12.320412248591085,12.10942043758729,12.144585579724877,14707200,KO
2002-03-18,12.224966049194336,12.337997572843674,12.101888024248314,12.257619813399362,8276200,KO
