Date,Close,High,Low,Open,Volume,Ticker
,JNJ,JNJ,JNJ,JNJ,JNJ,
2002-01-02,30.465673446655273,30.77707646783897,29.884386883181378,30.569475113667213,7054600,JNJ
2002-01-03,30.45530128479004,30.481251213569337,30.04009648476327,30.465681652272288,6413100,JNJ
2002-01-04,30.175045013427734,30.56949115914164,30.076434466925843,30.4553090675108,4778400,JNJ
2002-01-07,30.034894943237305,30.361869476574352,29.977803931718714,30.050466479011813,4509300,JNJ
2002-01-08,29.837682723999023,30.154275006482923,29.583368683479602,30.143896619390546,4505900,JNJ
2002-01-09,29.536657333374023,29.99857276246277,29.453616379603606,29.557418066779757,6491400,JNJ
2002-01-10,30.24769401550293,30.304785039406905,29.375763057347857,29.412093348949952,5305900,JNJ
2002-01-11,30.22174072265625,30.32035122032412,29.97261790234886,30.143890954977042,5158500,JNJ
2002-01-14,30.57984733581543,30.787450628001498,30.341104935697658,30.45528694438517,5401200,JNJ
2002-01-15,30.709617614746094,30.844560430864778,30.434544767827678,30.68885885675724,6218100,JNJ
2002-01-16,30.92240333557129,31.135195887762713,30.714799976424956,30.797840924113018,6373800,JNJ
2002-01-17,31.052165985107422,31.130015787588636,30.73557164073249,30.922414334452323,5591900,JNJ
2002-01-18,30.98468017578125,31.192281532458306,30.943158716534548,31.05215155713106,8949200,JNJ
2002-01-22,30.68366241455078,31.062536905779428,30.372259319797877,30.98987631566059,9612600,JNJ
2002-01-23,30.5072078704834,30.761521980253974,30.299606414611407,30.68886137170612,7261200,JNJ
2002-01-24,30.123138427734375,30.211368584433618,29.967436870125134,30.102377692092418,6873700,JNJ
2002-01-25,29.920711517333984,30.206164562802776,29.894759620594485,30.128312832287765,5527000,JNJ
2002-01-28,30.003772735595703,30.09200290866847,29.775408560860363,29.848069169238666,5286700,JNJ
2002-01-29,29.67677879333496,30.486429290455817,29.489936218626163,30.050463942752558,5898700,JNJ
2002-01-30,29.687170028686523,29.941482086403212,29.531468486023904,29.687170028686523,7920200,JNJ
2002-01-31,29.848060607910156,29.86882134145003,29.484757670224937,29.69235906606613,6754000,JNJ
2002-02-01,29.8947811126709,30.273657695052226,29.718318779178713,29.718318779178713,5901100,JNJ
2002-02-04,29.225263595581055,29.95187167841979,29.064370830024856,29.868830698099558,7657400,JNJ
2002-02-05,28.80484390258789,29.245998377623852,28.38963934140377,28.81003309341765,12762300,JNJ
2002-02-06,29.002086639404297,29.32387014683376,28.804863595562363,28.804863595562363,7157900,JNJ
2002-02-07,29.31865882873535,29.635250923035596,28.96054331148452,29.002064754583728,6952400,JNJ
2002-02-08,29.521087646484375,29.614508966556514,28.6751065724322,29.095502512756838,6542900,JNJ
2002-02-11,29.60931396484375,30.024518678227402,29.453612444806414,29.52108382943508,4444000,JNJ
2002-02-12,29.73906707763672,29.780588541018005,29.37576219245988,29.609315474348733,4910200,JNJ
2002-02-13,30.149093627929688,30.56429851409005,30.07643302033326,30.20618467099919,7287500,JNJ
2002-02-14,29.831504821777344,30.22196954977445,29.70134991244498,30.195938965109235,7137300,JNJ
2002-02-15,29.800262451171875,30.242788252519524,29.67531289147047,30.039746955759878,6148300,JNJ
2002-02-19,29.633682250976562,29.98770392389257,29.545177825751164,29.930437406044657,5012900,JNJ
2002-02-20,30.2584171295166,30.4562531763164,29.758622682239146,29.93042814061948,5536600,JNJ
2002-02-21,30.195947647094727,30.690536841964033,30.159504420883955,30.326102593849445,7052500,JNJ
2002-02-22,30.9248046875,30.982071174612432,30.169905878766933,30.195936461273696,7805400,JNJ
2002-02-25,31.08100700378418,31.252810530192292,30.924821438138473,31.21636729774187,8391700,JNJ
2002-02-26,31.24238395690918,31.367333545289217,30.846713901384,31.080993138342613,7768000,JNJ
2002-02-27,31.356931686401367,31.518324546418913,31.21636409593583,31.351726362016873,6807400,JNJ
2002-02-28,31.705738067626953,31.74218128492256,31.299653382608696,31.36212917169236,6439200,JNJ
2002-03-01,32.33047866821289,32.48666614814168,31.549549212594158,31.70573669252295,9202100,JNJ
2002-03-04,32.23676300048828,32.53872330605135,32.22635235671568,32.53872330605135,8455600,JNJ
2002-03-05,31.9191837310791,32.36170953207227,31.81505942907898,32.23675997247095,7700000,JNJ
2002-03-06,32.54912185668945,32.68968931888979,32.070151024080324,32.16906997118715,7264800,JNJ
2002-03-07,33.1218147277832,33.371711869787156,32.94480400394633,33.0593409387837,11207800,JNJ
2002-03-08,33.14265823364258,33.57477165897514,32.851110414449344,33.527917780933386,10364300,JNJ
2002-03-11,33.22074508666992,33.52791080126624,33.01249640402588,33.142651334176755,7239000,JNJ
2002-03-12,33.137420654296875,33.22071966641335,32.78339935630054,33.22071966641335,7505800,JNJ
2002-03-13,33.26759719848633,33.32486567907129,32.92919362376054,33.137442282977396,6200600,JNJ
2002-03-14,33.51750183105469,33.678896672609795,33.163482188509356,33.267606547378904,7572700,JNJ
2002-03-15,33.63203430175781,34.084974904030304,33.55394054660554,33.73616063263198,13573000,JNJ
2002-03-18,33.663272857666016,33.918375407210306,33.47584944150725,33.68409415100523,8274600,JNJ
2002-03-19,34.09537124633789,34.20470086887629,33.68408134897247,33.71011391377235,6706300,JNJ
2002-03-20,33.574764251708984,34.095383965833236,33.49667050018771,34.095383965833236,7227800,JNJ
2002-03-21,33.73615264892578,33.829864338528836,33.15826257236946,33.475842841363125,6192500,JNJ
2002-03-22,33.76217269897461,34.03810038961299,33.51227757130686,33.60598923718513,5583600,JNJ
2002-03-25,33.50188446044922,34.30363945601043,33.50188446044922,33.762194369189324,6519100,JNJ
2002-03-26,33.689292907714844,33.91315948840453,33.50707684715631,33.605995839464754,6034100,JNJ
2002-03-27,33.913169860839844,34.08497532991886,33.746571701372936,33.81425083827675,6347900,JNJ
2002-03-28,33.814247131347656,34.10058954842205,33.75177531090452,33.91316614306663,5604700,JNJ
2002-04-01,33.637237548828125,33.9912590870172,33.39775297476095,33.4237815753259,8185800,JNJ
2002-04-02,33.55393981933594,33.86110752374023,33.40296359386418,33.52791121619159,5218200,JNJ
2002-04-03,33.330074310302734,33.73616104768797,33.21553931694542,33.68409589560364,6996500,JNJ
2002-04-04,33.04893112182617,33.449808441862615,32.8094465886115,33.06975638193339,8472200,JNJ
2002-04-05,32.825069427490234,33.17909095799311,32.6949145114526,33.04893604195548,7208300,JNJ
2002-04-08,32.996883392333984,33.08018248067219,32.56476800619977,32.694922955853656,6099300,JNJ
2002-04-09,32.79903793334961,33.215533255936904,32.75218208543314,33.184297347996825,7770700,JNJ
2002-04-10,33.028106689453125,33.059344580396825,32.69491046341169,32.752178937138716,7254400,JNJ
2002-04-11,32.64284896850586,33.1582612548367,32.64284896850586,32.92398402614422,7491900,JNJ
2002-04-12,32.627227783203125,32.720939465501,32.226352458491874,32.642847720923484,6372500,JNJ
2002-04-15,32.36172103881836,32.90316601293402,32.163884993274834,32.8511028504191,6677300,JNJ
2002-04-16,32.934383392333984,33.29361206052673,32.288816428460706,32.79902321797522,9999000,JNJ
2002-04-17,32.54912185668945,33.043710634208,32.309637433387486,32.694894638524524,9971400,JNJ
2002-04-18,33.47064971923828,33.574772097589566,32.48667854736638,32.549152371578565,8094900,JNJ
2002-04-19,33.574764251708984,33.71012648954499,33.371722880961585,33.68409391503349,6608500,JNJ
2002-04-22,32.97604751586914,33.49666516100319,32.8354799771405,33.42898603887948,7123600,JNJ
2002-04-23,32.69491958618164,33.2936330872864,32.64806372969512,33.10620966134033,6699100,JNJ
2002-04-24,33.11662292480469,33.7517796612637,32.866725680789685,32.89796159503734,6929700,JNJ
2002-04-25,33.007301330566406,33.527921212840276,32.95523815073467,33.03333192747865,6789100,JNJ
2002-04-26,33.11662292480469,33.548738274626935,32.87713831420782,32.92399417158605,5438400,JNJ
2002-04-29,32.7521858215332,33.267600207408584,32.7521858215332,32.9552271903304,6343300,JNJ
2002-04-30,33.246768951416016,33.47584285319611,32.710531383169375,32.75738524198125,8313800,JNJ
2002-05-01,33.29364013671875,33.64765981112262,33.25198959501998,33.30405277214344,7117100,JNJ
2002-05-02,33.42377853393555,33.42377853393555,33.08537696728727,33.18950129010453,5380500,JNJ
2002-05-03,33.022891998291016,33.4081492805968,32.82505605045513,33.36129543648352,6039500,JNJ
2002-05-06,32.33047866821289,33.28321355735076,32.30444808356019,33.13744069449062,5620600,JNJ
2002-05-07,31.455820083618164,32.434585014896136,31.35690312236337,32.330460747993335,12821700,JNJ
2002-05-08,31.705738067626953,31.87754152259105,30.79985898597773,31.539139935416628,12847100,JNJ
2002-05-09,31.950422286987305,32.21593937845597,31.51830907888028,31.627638711364533,6005600,JNJ
2002-05-10,32.200321197509766,32.622023784961044,31.809856500760628,31.809856500760628,5920600,JNJ
2002-05-13,32.19512176513672,32.59079185638327,31.96604981609993,32.15867854565374,6086000,JNJ
2002-05-14,31.778621673583984,31.992075635604195,31.3465064412469,31.88795131573931,11451100,JNJ
2002-05-15,31.362123489379883,31.627638593856023,31.2371739198578,31.38294676262854,9889700,JNJ
2002-05-16,31.523509979248047,31.67969543031997,31.367324528176123,31.487066773531456,7215100,JNJ
2002-05-17,32.11121368408203,32.17912273727792,31.186586031707275,31.186586031707275,6402100,JNJ
2002-05-20,31.578365325927734,32.11120149931653,31.44776828321732,32.11120149931653,6951500,JNJ
2002-05-21,31.677629470825195,31.954494660791244,31.61494342631001,31.682854470307625,5296300,JNJ
2002-05-22,32.3880729675293,32.69628212870462,32.01195277280602,32.335834937263556,9556600,JNJ
2002-05-23,32.25747299194336,32.59702613632815,31.917919847558565,32.3880700485909,9079300,JNJ
2002-05-24,32.074642181396484,32.450760399560345,31.98583513481742,32.25747728795161,5640200,JNJ
2002-05-28,31.975387573242188,32.17911869273015,31.8918055244073,32.04852161687856,5106500,JNJ
2002-05-29,32.053741455078125,32.205234516935775,31.99627843211468,32.10597947990694,4892400,JNJ
2002-05-30,32.0589714050293,32.304494558966034,31.667180155685156,31.682853160731195,7590400,JNJ
2002-05-31,32.04851150512695,32.487317621248984,32.038065495977534,32.1947815390027,5661300,JNJ
2002-06-03,31.369401931762695,32.25223900959257,31.343282927873254,31.917908984450026,6301700,JNJ
2002-06-04,31.02986717224121,31.306732345651472,30.711209976484266,31.08210520742127,10291000,JNJ
2002-06-05,31.139554977416992,31.21268899261788,30.721644895731597,30.914927934870008,6962200,JNJ
2002-06-06,30.6903133392334,31.33807572311972,30.481357217269224,31.27016468456837,6153800,JNJ
2002-06-07,30.46046257019043,30.643297678568125,30.15747639887513,30.246283446339458,8501800,JNJ
2002-06-10,30.82090950012207,31.066432637210852,30.376880245102953,30.59105936700384,5136700,JNJ
2002-06-11,30.032106399536133,30.690314827971356,29.770912230787438,30.690314827971356,8911200,JNJ
2002-06-12,29.901500701904297,30.28806684435842,29.358216509141588,30.220155822074883,8400400,JNJ
2002-06-13,29.990304946899414,30.444782099661104,29.54105079905908,29.59329081203629,6887100,JNJ
2002-06-14,29.682104110717773,30.105239366278823,29.41568694497782,29.776134167509117,8495000,JNJ
2002-06-17,30.01120376586914,30.110456810702466,29.624635604605015,29.676875622480125,5789700,JNJ
2002-06-18,29.49403190612793,29.90671898700395,29.326867872083653,29.77612196085983,9990800,JNJ
2002-06-19,29.447021484375,29.75000758875088,29.290305427138723,29.305976435036516,9376000,JNJ
2002-06-20,28.75225257873535,29.384341944979923,28.694789546757985,29.201506836645784,10125100,JNJ
2002-06-21,27.686586380004883,28.65300416409226,27.42539216887276,28.339571907835186,19734200,JNJ
2002-06-24,28.276874542236328,28.637321692001084,27.24254611909352,27.738813327497017,10291000,JNJ
2002-06-25,27.86419105529785,28.88807161026079,27.697026964395867,28.49105739255687,9529700,JNJ
2002-06-26,28.282108306884766,28.574646534996546,27.164197424043557,27.216435468142183,10219700,JNJ
2002-06-27,28.423141479492188,28.459708493553748,27.7910522447105,28.28209642836066,9805300,JNJ
2002-06-28,27.300003051757812,28.381348324281504,27.2947800472202,28.13060026591921,14696800,JNJ
2002-07-01,26.380605697631836,27.294785102995316,26.25523164522783,27.007471974145957,11162500,JNJ
2002-07-02,26.960464477539062,27.164195625892695,26.406732080081525,26.824642383467634,13270100,JNJ
2002-07-03,27.66045570373535,27.738812738409944,26.929111423588722,27.1641865131182,9639300,JNJ
2002-07-05,28.517162322998047,28.65298233248962,27.576864277915615,27.660446282084003,4462400,JNJ
2002-07-08,27.98955726623535,28.600750428459264,27.921646250626274,28.522391411006286,9284600,JNJ
2002-07-09,27.488069534301758,28.20896588716688,27.216427401443116,28.0418018042928,9961700,JNJ
2002-07-10,26.276134490966797,27.216433154068813,26.009717300310054,27.216433154068813,16242700,JNJ
2002-07-11,26.63134765625,26.720154678009322,25.649257375970215,25.649257375970215,15809200,JNJ
2002-07-12,26.380605697631836,26.84030789944259,25.826873454706323,26.84030789944259,9013200,JNJ
2002-07-15,25.597028732299805,25.957475970526687,23.800013555015276,25.858222903037554,20573100,JNJ
2002-07-16,26.171655654907227,27.08583527149435,25.492551195421758,25.80598540247511,13834600,JNJ
2002-07-17,26.76717185974121,27.32090206841348,26.176872644262403,27.007469950023623,9856000,JNJ
